"","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W4-166",0.284730300015843,0.337100254000756,0.0749755317211788,-0.178140636538779,-0.241869471341785,0.162104969743524,-0.389524788109101,0.585531348169719,0.543321440721591,0.327573325593546,0.515842655569418,0.0818094348309768,-105.175251661613
"W4-167",0.309585561461221,0.408296104229605,0.131909921566523,-0.0599217146093417,-0.0639943738646652,0.303908372745287,-0.120290812501618,0.750650917224522,0.441773832199462,0.20417899900694,0.328697981125852,0.101555518558212,-23.8752239501509
"W4-168",0.322098605634465,0.460094722333188,0.153060923414244,-0.121763631583053,-0.234001888119799,0.361445161034599,-0.379256612387109,0.885530424441427,0.616604298804238,0.44662305094706,0.744770091051244,0.0550215124313675,-111.772181882128
"W4-169",0.310962364141923,0.383326037243079,0.115738707905218,-0.0907793269983936,-0.189227245540205,0.261774905087245,-0.318235637889794,0.690328035636739,0.542120545413518,0.324903152202556,0.545552720119764,0.145557642957866,-90.1334111557522
"W4-170",0.27131090219193,0.363401704785767,0.124056974056706,-0.0368662968154233,-0.0964625715986964,0.283253523077282,-0.175952329057706,0.644123616317193,0.4731240705105,0.303182427885234,0.471905155735486,0.1155791723225,-41.6295428865427
"W4-171",0.301965651412703,0.408813264546368,0.140354860487862,0.0671821055611379,-0.186224090358484,0.326541396498489,-0.313972936958135,0.75193340275024,0.530676253104161,0.355196953678312,0.541989112449798,0.234865993720079,-89.7456152947417
"W4-172",0.279158946059177,0.327620512055313,0.0582911094709675,-0.167314887519584,-0.260547843362282,0.123801759723693,-0.413387643517596,0.565056999973671,0.520434162221134,0.338893035979076,0.548574389453898,0.0433363423216166,-120.649071917556
"W4-173",0.284147631317639,0.397632940048812,0.135455078236999,-0.0729847530644109,-0.135342975427247,0.313355789449957,-0.23841777922009,0.724547303967371,0.486612704690952,0.273525544566012,0.487589442507109,0.0660024749162171,-57.2511262504214
"W4-174",0.274099228684098,0.369880107437458,0.113114106344988,0.0182785251670705,-0.195149641833972,0.255082380267711,-0.326568737737287,0.658968305951666,0.521779097863559,0.327421795892143,0.57979550410024,0.19177395184161,-98.6895792711308
"W4-175",0.27418008003018,0.369993363952951,0.123882630335223,-0.0438397869838018,-0.162412993983167,0.282804534311404,-0.279441119088495,0.659233274042895,0.517500402069883,0.362308801290601,0.560613147956863,0.0906936901510003,-74.2319085562097
