"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-040","GmWMC103","W1",0.238234167754717,0.328617344899914,0.436932884116122,0.388541851497795,0.380601989661198,0.499327598583629,0.523039496816764,0.527409280189889,0.588107683153971
"W1-041","GmJMC013","W1",0.194071416023247,0.220842930530088,0.28333993579821,0.24167309347255,0.316205842102269,0.393503711588903,0.464220158363207,0.508598301526492,0.566897517738247
"W1-042","GmWMC143","W1",0.199963775438345,0.223815455804984,0.325249529868709,0.312371305367893,0.414268151904729,0.528970658398739,0.651534021106885,0.727516049183957,0.754149431287246
"W1-043","GmJMC064","W1",0.259793521964984,0.25675598826913,0.261938960735011,0.243057169637089,0.280412982532114,0.352742425444674,0.384160765061566,0.346136474206067,0.403048049141786
"W1-044","GmWMC175","W1",0.213600524803756,0.297567218652688,0.494583288341316,0.457967670283825,0.55730236071364,0.627017397000723,0.699601429567006,0.745396155745634,0.76065124048489
"W1-045","GmWMC141","W1",0.151846428145029,0.191858297384895,0.280524250551599,0.269642234001691,0.37468574557429,0.474220122659366,0.553019224944023,0.677836165545677,0.709974135074669
"W1-046","GmJMC051","W1",0.239021089292914,0.276678972522725,0.443004688284351,0.445149568682948,0.570676020270549,0.652615212544664,0.717984964388295,0.740515065228882,0.747153300311756
"W1-047","GmWMC159","W1",0.178553040949037,0.239044604283645,0.390802769464036,0.411432503755202,0.529020132734283,0.597318026063531,0.676986800316377,0.686315361302004,0.726269404364154
"W1-048","GmJMC101","W1",0.311565259006328,0.397872750188709,0.616304611284707,0.628918467565693,0.70199824663173,0.717924123343416,0.75470987545626,0.772896849412547,0.780963179378088
"W1-049","UA-4805","W1",0.190825215062519,0.221854969646562,0.332876112697512,0.30174744048256,0.398916422347582,0.434410877907055,0.433708549703332,0.43440958561867,0.508669506678469
"W1-050","GmWMC147","W1",0.177384703520848,0.318766592909984,0.518551665736868,0.557471298156422,0.650760136365111,0.669703904795852,0.738219763199193,0.753801089236927,0.766094988652488
"W1-051","GmJMC054","W1",0.245831148458714,0.301524754205487,0.546722277140574,0.459421655349543,0.587658453938155,0.630556945861638,0.681774852604087,0.723987825842671,0.767613301519717
"W1-052","GmWMC125","W1",0.321704564800758,0.375708629837943,0.636837316494798,0.632797156940679,0.682273153864369,0.69615078469117,0.742262064600701,0.766133695559314,0.758990460979013
"W1-053","GmWMC155","W1",0.191009371840146,0.251697789702853,0.430071789293906,0.370447057125861,0.544406615653487,0.612822168334763,0.678529955049933,0.723328979173017,0.744305471653505
