"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-090","GmWMC134","W1",-0.0917149383351419,-0.119090431069982,-0.00213218476284147,-0.0361822754440537,-0.00378557449488483,0.0353416605036493,0.0560931857730748,0.0351602173004271,0.068310974022049
"W1-091","GmWMC120","W1",-0.199702434408704,-0.0730195022597734,-0.0316880368506388,-0.0819191628727133,-0.0735779662146746,-0.0297719580956798,-0.0112145555736445,-0.0114834991434363,0.0127784028750992
"W1-092","GmJMC080","W1",-0.150117642865097,-0.0557185999664313,0.0685770579840422,0.0239948183029752,0.0756348069609464,0.103986190730989,0.131532638052126,0.130541010054536,0.154195633116189
"W1-093","GmJMC100","W1",-0.193780771584984,-0.113873930075913,0.0324651225972811,-0.0119727722508864,0.0416866830991965,0.0944315718008526,0.10814040075499,0.120263592091031,0.12752347730025
"W1-094","GmWMC140","W1",-0.239573223224218,-0.150314970306503,-0.00937989569218665,-0.0506700330001286,-0.00723303484092488,0.0381955289867075,0.0653364659210622,0.0612558951584213,0.0413395246823354
"W1-095","GmJMC145","W1",-0.207782507534084,-0.0590710730971741,0.0344902588451458,0.000686592076152663,0.0474217342693744,0.0833895002797477,0.107366650668313,0.101934911129005,0.112940809463059
"W1-096","GmJMC098","W1",-0.246301343649794,-0.101975590763288,-0.00339567571334816,-0.0198068311270925,0.033274269737434,0.0479711315278449,0.0731375253710816,0.0801368934634316,0.0661298558045537
"W1-097","GmJMC116","W1",-0.228725209905065,-0.0974646147235518,0.00551368662528141,-0.0176030659260976,0.0395181298753024,0.0409274259221811,0.0847189572363015,0.0851123759365727,0.103563993761698
"W1-098","GmJMC041","W1",-0.263061235887237,-0.105703937000913,0.0451950602939114,0.0298109026082106,0.102252224658636,0.086711504416454,0.0721387038949941,0.0595408092025737,0.0790604414335896
"W1-099","GmWMC154","W1",-0.254139328577854,-0.133005867776117,0.0442413395186246,0.0434146525747246,0.119852777488955,0.0948400837248861,0.116941616643104,0.0983640851992273,0.120288251771395
"W1-100","GmJMC114","W1",-0.185696420588004,-0.122074420476697,-0.00315405878938041,0.028019462950877,0.0724043906415306,0.0548976431268096,0.073915260381911,0.0674634880744229,0.0618201528602612
"W1-101","GmWMC191","W1",-0.148301429841405,-0.26034645822086,-0.0534248034055091,-0.0640462328386986,-0.0524629663158871,0.00486327913911838,0.0458315899160609,0.0434369102505594,0.0487104502485429
"W1-102","GmJMC063","W1",-0.157440154151336,-0.199285942354474,-0.00371873571855521,-0.0457709980283181,-0.0243456872977575,0.0348393851303015,0.0323836300410076,0.0599723162135024,0.0415952958353284
"W1-103","C1329","W1",-0.184820262784281,-0.30309982966371,-0.0541039745201117,-0.0760976953655076,-0.0470474994282051,0.0087358822487138,0.0174334894711449,0.031562781511478,0.0352732448776843
"W1-104","GmWMC027","W1",-0.165822121110405,-0.303799929358559,-0.0479337100102997,-0.0716063795764187,-0.0368224664805684,0.0120598165747676,0.0466281018520574,0.0637743209698533,0.0627058897840161
"W1-105","GmWMC022","W1",-0.0420195284906999,-0.310919372433209,-0.00127301927934204,-0.0345908882576528,-0.00323314049758974,0.0526130132514859,0.0683594462305143,0.0781820873047879,0.0782868358817269
"W1-106","GmJMC044","W1",-0.141213331983817,-0.273536898540196,0.00384545835032859,-0.0255461764996184,-0.0044854296058186,0.057471782213337,0.0712250762703078,0.0770405782865754,0.0889074922657598
"W1-107","GmWMC107","W1",-0.165876842828295,-0.2641871427987,-0.00126107254687903,-0.0252313440736614,-0.0227549678355665,0.032220910978292,0.0405406151077943,0.040245826289973,0.0465725831122935
