"","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-051",0.0327083856832835,0.277085836041136,0.262054281717715,0.173133317699297,-0.0531084662765252,0.710226815987854,-0.100860279041076,0.460877980019011,0.331879055670318,0.123867268695107,0.820176147022071,-0.0537109314019789,-100.520694843792
"W1-052",0.00428499322506251,0.279960378889226,0.323914865454035,0.168511004483836,-0.0559898301942814,0.9582077904384,-0.10604236510345,0.466587795749484,0.335820186257375,0.149484390813556,1.03196468732099,-0.145348761198469,-121.208765391681
"W1-053",-0.00517040618063093,0.239208116205729,0.267916108536723,0.141233451071506,-0.0509992737046398,0.731927342373881,-0.0970491131261656,0.387844800272683,0.307236969022316,0.124307547647635,0.813019595425181,-0.143424242513139,-98.5427738092916
"W1-054",0.0269879899365755,0.342950654372004,0.354018803297931,0.189158190900598,-0.0731932445222347,1.09606535021547,-0.136402730628106,0.598339453085687,0.403026919494655,0.178436788474261,1.22462217678974,-0.117289542083723,-144.606535674091
"W1-055",0.0402375921379827,0.300200030096529,0.282211567229404,0.184965866821768,-0.0399198630938946,0.786336349272162,-0.0767748782195555,0.507503189530344,0.352172031794591,0.136827259095143,0.878955006262672,-0.0581785421531755,-82.3569281475391
"W1-056",0.0599990385215085,0.255235471187464,0.217908056091306,0.0309311188905485,-0.0716731601813738,0.557249125255562,-0.133759349530583,0.418261039198938,0.331330491922345,0.105026001715749,0.714044684321367,-0.124689023159231,-135.120828640784
"W1-057",0.101079456290923,0.312106375580525,0.250326933241889,0.115452850464645,-0.053127121811451,0.667829602907849,-0.100894033989114,0.532178096773141,0.361874978577804,0.121370415222591,0.796489816609084,-0.0349049322295384,-98.0337460357044
"W1-058",0.047781230605519,0.270791398934019,0.26579746947575,0.0929413558933581,-0.0704879459758125,0.72404408100268,-0.131693074643287,0.448460271146475,0.343072144693678,0.11667820335581,0.839167770048222,-0.111939087104988,-133.422404754831
"W1-059",-0.00196426268778166,0.270347470501744,0.291697964359156,0.125885902947112,-0.0703633301801609,0.823654174861262,-0.131475599352451,0.447588853026095,0.327680299980809,0.138505502551778,0.941481416968413,-0.156908977597156,-136.555980924783
"W1-060",0.025263688241981,0.280702782102571,0.280546195271881,0.164108648577541,-0.045170690412487,0.779890453392977,-0.0864369557363659,0.468066463046308,0.322235855692414,0.130522452898211,0.849857072337596,-0.0934740736982723,-86.4263496508729
"W1-061",-0.00549508931109106,0.285062977735564,0.305278016327352,0.139372367292051,-0.0700737124629055,0.878857716809583,-0.130969877088,0.476784280744033,0.352049482051694,0.145934566955402,1.02244139526786,-0.202656477672565,-142.266670963777
"W1-062",0.0576182179881626,0.2773090531704,0.258297343916703,0.161006242354613,-0.0661470071911101,0.69649892324872,-0.124086089769701,0.46132078870214,0.338754577858442,0.115121533261719,0.841071318401558,-0.0254181542992686,-130.976062538411
"W1-063",0.0232736542114815,0.268078955952758,0.255949499515181,0.124799470240748,-0.0371764173906693,0.687989590352819,-0.0716877413857863,0.443144745629027,0.301289602217411,0.114883830919317,0.752620899150012,-0.124210708093355,-76.9794659426825
"W1-064",0.0433771348740767,0.279546857081932,0.27175906488484,0.158306774791685,-0.0415340076805705,0.746343833168741,-0.0797554508151503,0.465765086857293,0.31379173272755,0.123102174836176,0.815993173903507,-0.0681807088893223,-81.5163657821819
"W1-065",0.0393822179632805,0.2883420260124,0.273112945248454,0.0399950182431534,-0.0693549612694306,0.751459097979962,-0.129713638186331,0.483378448642271,0.357810163808248,0.137311312165358,0.892706716470291,-0.153956962441437,-121.361493647966
"W1-066",0.0483328685237722,0.259810911660012,0.220811854437708,0.0829376766864415,-0.0792206036301877,0.566783069112869,-0.146810768625595,0.427072061618772,0.344951064075477,0.123181511427245,0.732629674279928,-0.070122476713619,-110.138512859001
"W1-067",0.0818534983891883,0.271546484556527,0.215889369999099,0.0355929013673944,-0.0755164402815906,0.550667870112144,-0.140428239349146,0.449943790835837,0.338454357352772,0.110416604785927,0.687887878240289,-0.0857504878158268,-121.363410487485
"W1-068",0.134888858567165,0.315164177203383,0.199057476544135,0.0919667388265422,-0.0305265879408199,0.49705811093258,-0.0592445947564952,0.538590759541909,0.344929168201224,0.083000677242822,0.569894384105738,0.0213994328312484,-63.4874736411371
